publication_number,title,abstract,filing_date,publication_date,patent_text
US-2022245312-A1,Generating autonomous vehicle simulation data from logged data,"Logged data from an autonomous vehicle is processed to generate augmented data. The augmented data describes an actor in an environment of the autonomous vehicle, the actor having an associated actor type and an actor motion behavior characteristic. The augmented data may be varied to create different sets of augmented data. The sets of augmented data can be used to create one or more simulation scenarios that in turn are used to produce machine learning models to control the operation of autonomous vehicles.",20220420,20220804,"Generating autonomous vehicle simulation data from logged data. Logged data from an autonomous vehicle is processed to generate augmented data. The augmented data describes an actor in an environment of the autonomous vehicle, the actor having an associated actor type and an actor motion behavior characteristic. The augmented data may be varied to create different sets of augmented data. The sets of augmented data can be used to create one or more simulation scenarios that in turn are used to produce machine learning models to control the operation of autonomous vehicles."
US-2022260268-A1,Smart transducer plug and play control system and method,"A building management system includes a communications bus, field devices connected to the communications bus, a cloud service including a machine learning engine; and a controller for an HVAC device. The controller communicates with the communications bus and the cloud service and is configured to transmit messages through the communications bus to the field devices, compile a list of connected field devices, receive sample data from the connected field devices, and transmit the sample data from the connected field devices to the cloud service. The controller is further configured to receive identifying characteristics for each of the connected field devices from the cloud service and to select a control logic file for the HVAC device based on the identifying characteristics.",20220303,20220818,"Smart transducer plug and play control system and method. A building management system includes a communications bus, field devices connected to the communications bus, a cloud service including a machine learning engine; and a controller for an HVAC device. The controller communicates with the communications bus and the cloud service and is configured to transmit messages through the communications bus to the field devices, compile a list of connected field devices, receive sample data from the connected field devices, and transmit the sample data from the connected field devices to the cloud service. The controller is further configured to receive identifying characteristics for each of the connected field devices from the cloud service and to select a control logic file for the HVAC device based on the identifying characteristics."
US-2022342800-A1,Detection of runtime errors using machine learning,"Runtime errors in a source code program are detected in advance of execution by machine learning models. Features representing a context of a runtime error are extracted from source code programs to train a machine learning model, such as a random forest classifier, to predict the likelihood that a code snippet has a particular type of runtime error. The features are extracted from a syntax-type tree representation of each method in a program. A model is generated for distinct runtime errors, such as arithmetic overflow, and conditionally uninitialized variables.",20220704,20221027,"Detection of runtime errors using machine learning. Runtime errors in a source code program are detected in advance of execution by machine learning models. Features representing a context of a runtime error are extracted from source code programs to train a machine learning model, such as a random forest classifier, to predict the likelihood that a code snippet has a particular type of runtime error. The features are extracted from a syntax-type tree representation of each method in a program. A model is generated for distinct runtime errors, such as arithmetic overflow, and conditionally uninitialized variables."
US-2023018833-A1,Generating multimodal training data cohorts tailored to specific clinical machine learning (ml) model inferencing tasks,"Techniques are described for generating multimodal training data cohorts tailored to specific clinical machine learning (ML) model inferencing tasks. In an embodiment, a method comprises accessing, by a system comprising a processor, multimodal clinical data for a plurality of subjects included in one or more clinical data sources. The method further comprises selecting, by the system, datasets from the multimodal clinical data based on the datasets respectively comprising subsets of the multimodal clinical data that satisfy criteria determined to be relevant to a clinical processing task. The method further comprises generating, by the system, a training data cohort comprising the datasets for training a clinical inferencing model to perform the clinical processing task.",20210719,20230119,"Generating multimodal training data cohorts tailored to specific clinical machine learning (ml) model inferencing tasks. Techniques are described for generating multimodal training data cohorts tailored to specific clinical machine learning (ML) model inferencing tasks. In an embodiment, a method comprises accessing, by a system comprising a processor, multimodal clinical data for a plurality of subjects included in one or more clinical data sources. The method further comprises selecting, by the system, datasets from the multimodal clinical data based on the datasets respectively comprising subsets of the multimodal clinical data that satisfy criteria determined to be relevant to a clinical processing task. The method further comprises generating, by the system, a training data cohort comprising the datasets for training a clinical inferencing model to perform the clinical processing task."
US-2023054326-A1,"Probiotic composition for treating rapid eye movement sleep behavior disorder, formulation and use","A probiotic composition for treating rapid eye movement sleep behavior disorder, is prepared from Bacillus licheniformis, Bifidobacterium longum, Lactobacillus acidophilus, Enterococcus faecalis, and pharmaceutically acceptable adjuvants. The probiotic composition can improve the symptoms of rapid eye movement sleep behavior disorder of a patient, improve RBD symptoms of idiopathic RBD patients and PD patients, improve the motor symptoms and reduce the daily levodopa equivalent dose in PD patients.",20221006,20230223,"Probiotic composition for treating rapid eye movement sleep behavior disorder, formulation and use. A probiotic composition for treating rapid eye movement sleep behavior disorder, is prepared from Bacillus licheniformis, Bifidobacterium longum, Lactobacillus acidophilus, Enterococcus faecalis, and pharmaceutically acceptable adjuvants. The probiotic composition can improve the symptoms of rapid eye movement sleep behavior disorder of a patient, improve RBD symptoms of idiopathic RBD patients and PD patients, improve the motor symptoms and reduce the daily levodopa equivalent dose in PD patients."
US-2023128064-A1,Enhanced learning and determination of security rules for data traffic,"Security rules to apply to resources, including virtual machines (VMs), in the cloud and on network edges can be learned, determined, and tested. A security management component (SMC) can analyze information relating to data traffic associated with a group of resources associated with a tenant. The analysis can comprise an artificial intelligence analysis. Ingress/egress of the data traffic to/from resources of the group of resources initially can be controlled based on a group of security rules selected by the tenant. Based on a result of the analyzing, SMC can determine a modified group of security rules to apply to the group of resources to control ingress/egress of subsequent data traffic to/from the resources, wherein the result of the analyzing can indicate respective first relationships determined between respective resources and respective second relationships determined between the respective resources and respective network addresses associated with the cloud network.",20211021,20230427,"Enhanced learning and determination of security rules for data traffic. Security rules to apply to resources, including virtual machines (VMs), in the cloud and on network edges can be learned, determined, and tested. A security management component (SMC) can analyze information relating to data traffic associated with a group of resources associated with a tenant. The analysis can comprise an artificial intelligence analysis. Ingress/egress of the data traffic to/from resources of the group of resources initially can be controlled based on a group of security rules selected by the tenant. Based on a result of the analyzing, SMC can determine a modified group of security rules to apply to the group of resources to control ingress/egress of subsequent data traffic to/from the resources, wherein the result of the analyzing can indicate respective first relationships determined between respective resources and respective second relationships determined between the respective resources and respective network addresses associated with the cloud network."
US-2023289927-A1,"Image processing method, image processing apparatus, image processing system, and manufacturing method of learnt weight",An image processing method includes a first step of acquiring input data including a captured image and optical system information relating to a state of an optical system used for capturing the captured image and a second step of inputting the input data to a machine learning model and of generating an estimated image acquired by sharpening the captured image or by reshaping blurs included in the captured image.,20230519,20230914,"Image processing method, image processing apparatus, image processing system, and manufacturing method of learnt weight. An image processing method includes a first step of acquiring input data including a captured image and optical system information relating to a state of an optical system used for capturing the captured image and a second step of inputting the input data to a machine learning model and of generating an estimated image acquired by sharpening the captured image or by reshaping blurs included in the captured image."
US-2005282154-A1,Angiotensin-converting enzyme-2 as a receptor for the SARS coronavirus,"The present invention is based upon the identification of human angiotensin-converting enzyme-2 (ACE-2) as a functional receptor for the SARS coronavirus. Transfection of cells with ACE-2 confers upon them the ability to support viral replication. In addition, assays performed using ACE-2 together with the S protein of the SARS virus or a fragment derived from the S protein can be used to identify inhibitors that block the interaction between virus and host cell.",20041005,20051222,"Angiotensin-converting enzyme-2 as a receptor for the SARS coronavirus. The present invention is based upon the identification of human angiotensin-converting enzyme-2 (ACE-2) as a functional receptor for the SARS coronavirus. Transfection of cells with ACE-2 confers upon them the ability to support viral replication. In addition, assays performed using ACE-2 together with the S protein of the SARS virus or a fragment derived from the S protein can be used to identify inhibitors that block the interaction between virus and host cell."
US-2008026441-A1,Production of probiotic bacteria using maple sap,"Use of maple sap, down-graded maple syrup or mixture thereof as a carbon and energy source for the production of probiotic bacteria (e.g.  Lactobacilli  spp.) unexpectedly leads to an improvement in growth of the probiotic bacteria and an improvement in the yield of products produced by the bacteria.",20070723,20080131,"Production of probiotic bacteria using maple sap. Use of maple sap, down-graded maple syrup or mixture thereof as a carbon and energy source for the production of probiotic bacteria (e.g.  Lactobacilli  spp.) unexpectedly leads to an improvement in growth of the probiotic bacteria and an improvement in the yield of products produced by the bacteria."
US-2024211888-A1,Systems and methods for adaptive employment search and recruiting using machine learning,"A method for employment searching includes determining one or more potential employment opportunities for a user. The one or more potential employment opportunities are determined as output from one or more matching algorithms or a user based search. The method also includes providing a graphical user interface comprising an employment card or series of employment cards for each of the one or more potential employment opportunities. The method further includes receiving, from the user, a first input gesture associated with a first employment card. The first input gesture represents an interest in a first employment opportunity from the one or more potential employment opportunities. The method includes automatically transmitting an electronic response to a poster of the first employment opportunity in response to the first input gesture.",20231227,20240627,"Systems and methods for adaptive employment search and recruiting using machine learning. A method for employment searching includes determining one or more potential employment opportunities for a user. The one or more potential employment opportunities are determined as output from one or more matching algorithms or a user based search. The method also includes providing a graphical user interface comprising an employment card or series of employment cards for each of the one or more potential employment opportunities. The method further includes receiving, from the user, a first input gesture associated with a first employment card. The first input gesture represents an interest in a first employment opportunity from the one or more potential employment opportunities. The method includes automatically transmitting an electronic response to a poster of the first employment opportunity in response to the first input gesture."
US-2024243904-A1,File construct for internet-of-things key material,"Systems and methods are disclosed for automated generation of file constructs for encryption material for a set of internet of things (IOT) devices. An example method includes receiving an order to generate encryption material for a set of IoT devices and generating a file construct containing encryption material for each of the IoT devices, the encryption material including (1) a private key, (2) a digital certificate, (3) an advanced encryption standard (AES) key, and (4) an initialization vector (IV). The method may also include generating asymmetric key material and encrypting the file construct. The method may further include receiving, from a computing device associated with a manufacturing facility, a request to access the file construct and determining that the manufacturing facility is authorized to access the file construct. The method may also include sending the file construct to the computing device associated with the authorized manufacturing facility.",20230112,20240718,"File construct for internet-of-things key material. Systems and methods are disclosed for automated generation of file constructs for encryption material for a set of internet of things (IOT) devices. An example method includes receiving an order to generate encryption material for a set of IoT devices and generating a file construct containing encryption material for each of the IoT devices, the encryption material including (1) a private key, (2) a digital certificate, (3) an advanced encryption standard (AES) key, and (4) an initialization vector (IV). The method may also include generating asymmetric key material and encrypting the file construct. The method may further include receiving, from a computing device associated with a manufacturing facility, a request to access the file construct and determining that the manufacturing facility is authorized to access the file construct. The method may also include sending the file construct to the computing device associated with the authorized manufacturing facility."
US-2024293608-A1,Electronic automatically adjusting bidet commode with artificial intelligence and spectroscopy software,"A free-standing electronic commode bidet system, a bidet system, and an electronic commode bidet system for insertion onto a wheelchair, all three systems using artificial intelligence and spectroscopy software incorporating fecal detection algorithms. The systems use one or more internal cameras, or other sensors, to capture one or more images of a user as he or she sits on the commode prior to use. The systems automatically detect feces on a user by detecting the absorption spectra of bilirubin, a biomarker of feces. The systems calculate the ratio of green or red light to blue light on an RGB light spectrum. In the presence of bilirubin, more blue light will be absorbed by feces, and the green and red light are not absorbed. Once feces are detected and located on the user, the systems activate one or more water sprays to clean the feces from the user.",20230301,20240905,"Electronic automatically adjusting bidet commode with artificial intelligence and spectroscopy software. A free-standing electronic commode bidet system, a bidet system, and an electronic commode bidet system for insertion onto a wheelchair, all three systems using artificial intelligence and spectroscopy software incorporating fecal detection algorithms. The systems use one or more internal cameras, or other sensors, to capture one or more images of a user as he or she sits on the commode prior to use. The systems automatically detect feces on a user by detecting the absorption spectra of bilirubin, a biomarker of feces. The systems calculate the ratio of green or red light to blue light on an RGB light spectrum. In the presence of bilirubin, more blue light will be absorbed by feces, and the green and red light are not absorbed. Once feces are detected and located on the user, the systems activate one or more water sprays to clean the feces from the user."
US-2024330773-A1,Asynchronous Machine Learning Model Execution,"A method for processing data with machine learning (ML) models. The method includes receiving, at an ML controller from at least one ML application, at least one request to run at least one ML model. The method includes queueing, at the ML controller, pre-processed input data for the at least one ML model. The method includes running, by the ML controller using an ML runtime, the at least one ML model. The running includes executing the at least one ML model by the ML runtime. The running includes starting processing of a second set of the queued input data with the at least one ML model independent from post-processing output data resulting from processing a first set of the queued input data.",20240328,20241003,"Asynchronous Machine Learning Model Execution. A method for processing data with machine learning (ML) models. The method includes receiving, at an ML controller from at least one ML application, at least one request to run at least one ML model. The method includes queueing, at the ML controller, pre-processed input data for the at least one ML model. The method includes running, by the ML controller using an ML runtime, the at least one ML model. The running includes executing the at least one ML model by the ML runtime. The running includes starting processing of a second set of the queued input data with the at least one ML model independent from post-processing output data resulting from processing a first set of the queued input data."
US-2024364640-A1,Resource allocation system and method for a cloud environment,"A resource allocation method for a cloud environment includes steps performed by one or more servers. These steps include: obtaining an initial resource requirement, generating a first deployment parameter set according to the initial resource requirement by a first prediction model, configuring the cloud environment according to the first deployment parameter set by a resource allocator, obtaining and inputting the requests to a machine learning model in the cloud environment and generating a real resource requirement, generating a predicted resource requirement at least according to the real resource requirement by a second prediction model, when detecting that the cloud environment is in a busy state according to the predicted resource requirement by the resource allocator, generating a second deployment parameter set according to the real resource requirement by the first prediction model; and reconfiguring the cloud environment according to the second deployment parameter set by the resource allocator.",20230606,20241031,"Resource allocation system and method for a cloud environment. A resource allocation method for a cloud environment includes steps performed by one or more servers. These steps include: obtaining an initial resource requirement, generating a first deployment parameter set according to the initial resource requirement by a first prediction model, configuring the cloud environment according to the first deployment parameter set by a resource allocator, obtaining and inputting the requests to a machine learning model in the cloud environment and generating a real resource requirement, generating a predicted resource requirement at least according to the real resource requirement by a second prediction model, when detecting that the cloud environment is in a busy state according to the predicted resource requirement by the resource allocator, generating a second deployment parameter set according to the real resource requirement by the first prediction model; and reconfiguring the cloud environment according to the second deployment parameter set by the resource allocator."
US-2024390437-A1,Composition for preventing hair loss and promoting hair growth comprising postbiotic components from heat-treat limosilactobacillus fermentum lm1020,"The present disclosure relates to heat-treated  Limosilactobacillus fermentum  LM1020 for preventing hair loss and promoting hair growth, and more particularly, to heat-treated  Limosilactobacillus fermentum  LM1020 for preventing hair loss and promoting hair growth by promoting the proliferation of dermal papilla cells and a composition containing the same. Heat-treated  Limosilactobacillus fermentum  LM1020 of the present disclosure and a composition containing the same promotes the proliferation of dermal papilla cells, has excellent 5α-reductase-1 inhibitory activity, and promotes the expression of FGF7, FGF10, and EGF, which are growth factors, and thus have the effect of effect of preventing hair loss and promoting hair growth. The subject cell line referred to as  Lactobacillus fermentum  LM1020 has the International Depositary Authority accession number KCCM12918P, having been deposited on Dec. 23, 2020.",20240712,20241128,"Composition for preventing hair loss and promoting hair growth comprising postbiotic components from heat-treat limosilactobacillus fermentum lm1020. The present disclosure relates to heat-treated  Limosilactobacillus fermentum  LM1020 for preventing hair loss and promoting hair growth, and more particularly, to heat-treated  Limosilactobacillus fermentum  LM1020 for preventing hair loss and promoting hair growth by promoting the proliferation of dermal papilla cells and a composition containing the same. Heat-treated  Limosilactobacillus fermentum  LM1020 of the present disclosure and a composition containing the same promotes the proliferation of dermal papilla cells, has excellent 5α-reductase-1 inhibitory activity, and promotes the expression of FGF7, FGF10, and EGF, which are growth factors, and thus have the effect of effect of preventing hair loss and promoting hair growth. The subject cell line referred to as  Lactobacillus fermentum  LM1020 has the International Depositary Authority accession number KCCM12918P, having been deposited on Dec. 23, 2020."
US-2025022191-A1,"Method for generating training image used to train image-based artificial intelligence model for analyzing images obtained from multi-channel one-dimensional signals, and device performing same","In an aspect, exemplary embodiments of the present disclosure provide a training image generation method and device that can generate training images in large quantity by varying image formats and signal patterns to solve the problems that are generated when two-dimensional image training is performed using only one format without considering variety of formats, for example, a technology for generating training images that are used to training an image-based artificial intelligence model for analyzing images obtained from multi-channel one-dimensional signals, and a method and device for performing the technology.",20221202,20250116,"Method for generating training image used to train image-based artificial intelligence model for analyzing images obtained from multi-channel one-dimensional signals, and device performing same. In an aspect, exemplary embodiments of the present disclosure provide a training image generation method and device that can generate training images in large quantity by varying image formats and signal patterns to solve the problems that are generated when two-dimensional image training is performed using only one format without considering variety of formats, for example, a technology for generating training images that are used to training an image-based artificial intelligence model for analyzing images obtained from multi-channel one-dimensional signals, and a method and device for performing the technology."
US-2022383030-A1,Using few shot learning on recognition system for character image in industrial processes,"An artificial intelligence optical character image recognition system and method, using few shot learning on recognition system for character image in industrial processes, mainly including: preparing two or more identical neural network architecture units, inputting similar or different character images respectively, and comparing the calculation results to see if the weights are similar. If the similarity reaches the set standard value, they are classified as the same type of character, otherwise different. Through such procedures, training samples in the storage unit are gradually divided into settings of character sets with different contextual meanings, becoming a complete AI OCR system. It can increase training sample data by comparing characters, without increasing the training set. Simultaneously, it can improve the flexibility of recognizing test characters.",20210525,20221201,"Using few shot learning on recognition system for character image in industrial processes. An artificial intelligence optical character image recognition system and method, using few shot learning on recognition system for character image in industrial processes, mainly including: preparing two or more identical neural network architecture units, inputting similar or different character images respectively, and comparing the calculation results to see if the weights are similar. If the similarity reaches the set standard value, they are classified as the same type of character, otherwise different. Through such procedures, training samples in the storage unit are gradually divided into settings of character sets with different contextual meanings, becoming a complete AI OCR system. It can increase training sample data by comparing characters, without increasing the training set. Simultaneously, it can improve the flexibility of recognizing test characters."
US-2022409134-A1,Using an In-Ear Microphone Within an Earphone as a Fitness and Health Tracker,"Trained machine learning models can be used for analysis of signals obtained through an in-ear or on-body device. Signals can be analyzed to determine information related to activities such as eating, chewing, drinking, coughing, or sneezing. In addition, data from an in-ear thermometer or other data sensors can be analyzed in conjunction with the machine learning models to provide data or recommendations to a user on a user device or initiate an action.",20210608,20221229,"Using an In-Ear Microphone Within an Earphone as a Fitness and Health Tracker. Trained machine learning models can be used for analysis of signals obtained through an in-ear or on-body device. Signals can be analyzed to determine information related to activities such as eating, chewing, drinking, coughing, or sneezing. In addition, data from an in-ear thermometer or other data sensors can be analyzed in conjunction with the machine learning models to provide data or recommendations to a user on a user device or initiate an action."
US-2023009149-A1,"System, method and computer program for underwriting and processing of loans using machine learning",A system and method for processing loans includes a machine learning model associated with processing loans. The machine learning model may be configured based on an objective function associated with loan processing. One or more weights of the objective function may be updated to account for changes in one or more business conditions. The machine learning model may be configured based on the updates to the one or more weights.,20220920,20230112,"System, method and computer program for underwriting and processing of loans using machine learning. A system and method for processing loans includes a machine learning model associated with processing loans. The machine learning model may be configured based on an objective function associated with loan processing. One or more weights of the objective function may be updated to account for changes in one or more business conditions. The machine learning model may be configured based on the updates to the one or more weights."
US-2023011684-A1,Methods and systems for predicting prescription directions using machine learning algorithm,"Methods and systems for predicting drug directions of a prescription are described. In one embodiment, values of a plurality of required pharmacy elements of a corresponding prescription are received and pre-processed, the values are weighted, a machine learning model to be used by a plurality of machine learning algorithms in predicting drug directions of the prescription is created, and a plurality of drug directions of the prescription are predicted by executing the machine learning algorithms on the weighted values of the plurality of required pharmacy elements of the prescription.",20220907,20230112,"Methods and systems for predicting prescription directions using machine learning algorithm. Methods and systems for predicting drug directions of a prescription are described. In one embodiment, values of a plurality of required pharmacy elements of a corresponding prescription are received and pre-processed, the values are weighted, a machine learning model to be used by a plurality of machine learning algorithms in predicting drug directions of the prescription is created, and a plurality of drug directions of the prescription are predicted by executing the machine learning algorithms on the weighted values of the plurality of required pharmacy elements of the prescription."
US-2023041256-A1,"Artificial intelligence-based audio processing method, apparatus, electronic device, computer-readable storage medium, and computer program product","An artificial intelligence-based audio processing method includes: obtaining an audio clip of an audio scene, the audio clip including noise; performing audio scene classification processing based on the audio clip to obtain an audio scene type corresponding to the noise in the audio clip; and determining a target audio processing mode corresponding to the audio scene type, and applying the target audio processing mode to the audio clip of the audio scene according to a degree of interference caused by the noise in the audio clip.",20221020,20230209,"Artificial intelligence-based audio processing method, apparatus, electronic device, computer-readable storage medium, and computer program product. An artificial intelligence-based audio processing method includes: obtaining an audio clip of an audio scene, the audio clip including noise; performing audio scene classification processing based on the audio clip to obtain an audio scene type corresponding to the noise in the audio clip; and determining a target audio processing mode corresponding to the audio scene type, and applying the target audio processing mode to the audio clip of the audio scene according to a degree of interference caused by the noise in the audio clip."
US-2023115661-A1,System and method for calculating generalized utilities and choice predictions,A method for calculating generalized utilities and choice predictions is described. The method includes identifying an individual&#39;s choice a user desires to predict and relevant parameters influencing the individual&#39;s choice. The method also includes manually selecting between different function forms and parameter estimates for an expected generalized utility (EGU) model if a choice data is unavailable. The method further includes providing a machine learning (ML)-based recommendation for the function forms and parameter estimates if the choice data is available. The method also includes displaying a predicted choice as well as a confidence interval associated with the predicted choice estimated using the EGU model.,20220526,20230413,System and method for calculating generalized utilities and choice predictions. A method for calculating generalized utilities and choice predictions is described. The method includes identifying an individual&#39;s choice a user desires to predict and relevant parameters influencing the individual&#39;s choice. The method also includes manually selecting between different function forms and parameter estimates for an expected generalized utility (EGU) model if a choice data is unavailable. The method further includes providing a machine learning (ML)-based recommendation for the function forms and parameter estimates if the choice data is available. The method also includes displaying a predicted choice as well as a confidence interval associated with the predicted choice estimated using the EGU model.
US-2023169354-A1,Annotation of a Machine Learning Pipeline with Operational Semantics to Support Distributed Lineage Tracking,"A system, computer program product, and method are provided for distributed data workflow semantics. A pipeline, such as a machine learning (ML) pipeline, is represented in a data flow graph (DFG). The represented pipeline is subject to annotations, with the annotations including pipeline nodes and object references. The pre-processed pipeline is subject to execution or processing with the annotated object references capturing object lineage. Output from the executed pipeline is constructed and a corresponding control signal is formatted to dynamically and selectively control an operatively coupled physical hardware device or software.",20211130,20230601,"Annotation of a Machine Learning Pipeline with Operational Semantics to Support Distributed Lineage Tracking. A system, computer program product, and method are provided for distributed data workflow semantics. A pipeline, such as a machine learning (ML) pipeline, is represented in a data flow graph (DFG). The represented pipeline is subject to annotations, with the annotations including pipeline nodes and object references. The pre-processed pipeline is subject to execution or processing with the annotated object references capturing object lineage. Output from the executed pipeline is constructed and a corresponding control signal is formatted to dynamically and selectively control an operatively coupled physical hardware device or software."
US-2023256852-A1,Intelligent charging scheduling algorithm,"A system for controlling charging of an electric vehicle. The system includes an electronic controller configured to estimate a vehicle usage of the electric vehicle for a defined time-period using an artificial intelligence engine. The electronic controller is also configured to determine peak and off-peak hours for charging the electric vehicle. The electronic controller is further configured to determine a charging time to reach a maximum target state of charge for the electric vehicle. The electronic controller is also configured to create a charging schedule for the electric vehicle to reach the maximum target state of charge based on the vehicle usage, the peak and off-peak hours, and the charging time associated with the electric vehicle. The electronic controller is further configured to control charging of the electric vehicle according to the charging schedule responsive to determining the electric vehicle reaches a minimum target state of charge.",20220126,20230817,"Intelligent charging scheduling algorithm. A system for controlling charging of an electric vehicle. The system includes an electronic controller configured to estimate a vehicle usage of the electric vehicle for a defined time-period using an artificial intelligence engine. The electronic controller is also configured to determine peak and off-peak hours for charging the electric vehicle. The electronic controller is further configured to determine a charging time to reach a maximum target state of charge for the electric vehicle. The electronic controller is also configured to create a charging schedule for the electric vehicle to reach the maximum target state of charge based on the vehicle usage, the peak and off-peak hours, and the charging time associated with the electric vehicle. The electronic controller is further configured to control charging of the electric vehicle according to the charging schedule responsive to determining the electric vehicle reaches a minimum target state of charge."
US-2023262103-A1,Systems and methods for associating dual-path resource locators with streaming content,"Disclosed herein are systems and methods associated with content creation and promotion. In some embodiments, a system for resource locator element generation may include receiving user input, generating a resource datum as a function of the user input, generating resource language as a function of the resource datum using a resource language machine learning model, generating resource locator element as a function of the resource language, and transmitting the resource locator element to a user device.",20230425,20230817,"Systems and methods for associating dual-path resource locators with streaming content. Disclosed herein are systems and methods associated with content creation and promotion. In some embodiments, a system for resource locator element generation may include receiving user input, generating a resource datum as a function of the user input, generating resource language as a function of the resource datum using a resource language machine learning model, generating resource locator element as a function of the resource language, and transmitting the resource locator element to a user device."
US-2023351383-A1,Validation of transaction amount,"Systems and methods for validation of transaction amounts with a predictive model are disclosed. An example method may be performed by one or more processors of a system and include retrieving data indicating attributes for each of a plurality of transactions, assigning a label to each of the transactions based on whether an original amount entered changed, defining predictive features suggesting an extent to which final amounts stored for a particular set of similar transactions tend to vary, defining one or more interaction features suggesting a probability of a particular predictive feature value being generated for a transaction having particular attributes, generating, using a machine learning process, an anomaly scoring algorithm based on the predictive features and the one or more interaction features, and training, using the labeled transactions, a predictive model to predict, using the anomaly scoring algorithm, whether an amount entered for a given transaction will be changed.",20220427,20231102,"Validation of transaction amount. Systems and methods for validation of transaction amounts with a predictive model are disclosed. An example method may be performed by one or more processors of a system and include retrieving data indicating attributes for each of a plurality of transactions, assigning a label to each of the transactions based on whether an original amount entered changed, defining predictive features suggesting an extent to which final amounts stored for a particular set of similar transactions tend to vary, defining one or more interaction features suggesting a probability of a particular predictive feature value being generated for a transaction having particular attributes, generating, using a machine learning process, an anomaly scoring algorithm based on the predictive features and the one or more interaction features, and training, using the labeled transactions, a predictive model to predict, using the anomaly scoring algorithm, whether an amount entered for a given transaction will be changed."
US-2023377561-A1,Learned audio frontend machine learning model for audio understanding,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for processing audio inputs using a learned audio frontend machine learning model that processes the audio input to generate a representation of the audio input. The representation can then be processed by an audio understanding model to generate a respective output for each of one or more audio understanding tasks.",20211004,20231123,"Learned audio frontend machine learning model for audio understanding. Methods, systems, and apparatus, including computer programs encoded on computer storage media, for processing audio inputs using a learned audio frontend machine learning model that processes the audio input to generate a representation of the audio input. The representation can then be processed by an audio understanding model to generate a respective output for each of one or more audio understanding tasks."
US-2023401838-A1,Image processing method and related apparatus,"An image processing method is disclosed in embodiments of this disclosure and is applied to the field of artificial intelligence. The method includes: obtaining an input feature map of an image to be processed, where the input feature map includes a first input sub-feature map and a second input sub-feature map, and resolution of the first input sub-feature map is higher than resolution of the second input sub-feature map; performing feature fusion processing on the input feature map by using a target network, to obtain an output feature map, where a feature of the first input sub-feature map is fused to a feature of the second input sub-feature map from a low level to a high level in the target network; and performing, based on the output feature map, object detection on the image to be processed, to obtain an object detection result.",20230825,20231214,"Image processing method and related apparatus. An image processing method is disclosed in embodiments of this disclosure and is applied to the field of artificial intelligence. The method includes: obtaining an input feature map of an image to be processed, where the input feature map includes a first input sub-feature map and a second input sub-feature map, and resolution of the first input sub-feature map is higher than resolution of the second input sub-feature map; performing feature fusion processing on the input feature map by using a target network, to obtain an output feature map, where a feature of the first input sub-feature map is fused to a feature of the second input sub-feature map from a low level to a high level in the target network; and performing, based on the output feature map, object detection on the image to be processed, to obtain an object detection result."
US-2017369473-A1,Pyrrolidine derivatives as angiotensin ii type 2 antagonists,"The invention relates to heterocyclic angiotensin II type 2 (AT 2 ) receptor antagonists of formula (I), and pharmaceutically acceptable salts thereof, ((I) in which all of the variables are as defined in the specification, pharmaceutical compositions thereof,combinations thereof, and their use as medic-aments, particularly for the treatment of neuropathic or inflammatory pain.",20160112,20171228,"Pyrrolidine derivatives as angiotensin ii type 2 antagonists. The invention relates to heterocyclic angiotensin II type 2 (AT 2 ) receptor antagonists of formula (I), and pharmaceutically acceptable salts thereof, ((I) in which all of the variables are as defined in the specification, pharmaceutical compositions thereof,combinations thereof, and their use as medic-aments, particularly for the treatment of neuropathic or inflammatory pain."
